RFY-PAD-District,RFY_ID,RFY_BPCD,CATHYDTRMT,COKING,Crude_API,GSL_Yield_PAD,DSL_Yield_PAD,RESID_Yield_PAD,WTI_Acq_Cost,SPECF_CRCK_PAD-1A,SPECF_CRCK_PAD-1B,SPECF_CRCK_PAD-1C,SPECF_CRCK_PAD-2,SPECF_CRCK_PAD-3,SPECF_CRCK_PAD-4,SPECF_CRCK_PAD-5,SPECF_RFY_CRCK,Dist_PAD-1A,Dist_PAD-1B,Dist_PAD-1C,Dist_PAD-2,Dist_PAD-3,Dist_PAD-4,Dist_PAD-5,WTI_Price,BPD_DENS_PAD-1A,BPD_DENS_PAD-1B,BPD_DENS_PAD-1C,BPD_DENS_PAD-2,BPD_DENS_PAD-3,BPD_DENS_PAD-4,BPD_DENS_PAD-5,MRKT_RESIST_PAD-1A,MRKT_RESIST_PAD-1B,MRKT_RESIST_PAD-1C,MRKT_RESIST_PAD-2,MRKT_RESIST_PAD-3,MRKT_RESIST_PAD-4,MRKT_RESIST_PAD-5,REVNUE_PAD-1A,REVNUE_PAD-1B,REVNUE_PAD-1C,REVNUE_PAD-2,REVNUE_PAD-3,REVNUE_PAD-4,REVNUE_PAD-5
PAD-3-2,RFY-107,75000,1433000,3080090,32.181666666666665,45.80909090909092,41.538383838383844,9.09090909090909,64.02666666666666,2.941932164644211,3.0640412767743195,3.1005912259196764,4.7670598203741585,4.5939789446899635,4.6989954722962395,7.432217581100739,30.598816485799304,1733.857142857143,1377.2222222222222,1042.8,780.7058823529412,370.73125,1141.0,1600.88,64.93833333333333,2.9122274494804747,1.1282382905832762,1.210962118448898,1.1506364519846966,4.367236322691699,5.365459864527051,0.7609262708499925,0.13793914299576757,0.15553721583859764,0.15472119072916432,0.15531627028300285,0.123586279913593,0.1137393531455483,0.15916054709432634,85.35442107162537,83.72639743691461,84.06652811878789,94.71926449745455,101.19890737090911,105.34038388363639,110.72302274727275
PAD-3-2,RFY-108,73500,1433000,3080090,32.181666666666665,45.80909090909092,41.538383838383844,9.09090909090909,64.02666666666666,2.927719874657924,3.0680811991161336,3.1094097556623765,4.826397800412812,4.704603836606606,4.559857347164756,7.361229158036395,30.557298971657,2073.285714285714,1716.6666666666667,1324.6666666666667,1151.2941176470588,487.25,1312.5,1628.8,64.93833333333333,2.3867422630233333,0.8870435818475154,0.9342240597706143,0.7646547134133495,3.256417775962564,4.571085646717606,0.7329252305432032,0.13727276763732932,0.15574229084134417,0.1551612401658218,0.15724956965263556,0.1265622880804619,0.11037150985996923,0.157640333762438,85.35442107162537,83.72639743691461,84.06652811878789,94.71926449745455,101.19890737090911,105.34038388363639,110.72302274727275
PAD-3-2,RFY-109,73000,1433000,3080090,32.181666666666665,45.80909090909092,41.538383838383844,9.09090909090909,64.02666666666666,3.02459033952141,3.101533852859039,3.1590007626954866,4.836220322726625,4.919015632630161,3.9837965203997343,7.321105085963221,30.345262516795678,2054.0,1702.5555555555557,1413.6,998.2647058823529,476.6875,881.125,1245.72,64.93833333333333,2.392763418618399,0.8883112477190442,0.8694941019586048,0.875873647662383,3.305930520095548,6.7626462154791,0.9517930229256284,0.14181475846412558,0.15744041829968627,0.15763585842361724,0.1575695986826957,0.1323303502677673,0.09642793698465307,0.15678107887745482,85.35442107162537,83.72639743691461,84.06652811878789,94.71926449745455,101.19890737090911,105.34038388363639,110.72302274727275
PAD-3-2,RFY-110,60000,1433000,3080090,32.181666666666665,45.80909090909092,41.538383838383844,9.09090909090909,64.02666666666666,2.927719874657924,3.0680811991161336,3.1094097556623765,4.826397800412812,4.704603836606606,4.559857347164755,7.361229158036395,30.557298971657,2073.285714285714,1716.6666666666667,1324.6666666666667,1151.2941176470588,487.25,1312.5,1628.8,64.93833333333333,1.9483610310394555,0.7241172096714411,0.7626318855270321,0.62420792931702,2.6583002252755623,3.7314984871164127,0.5983063106475129,0.13727276763732932,0.15574229084134417,0.1551612401658218,0.15724956965263556,0.1265622880804619,0.1103715098599692,0.157640333762438,85.35442107162537,83.72639743691461,84.06652811878789,94.71926449745455,101.19890737090911,105.34038388363639,110.72302274727275
PAD-3-2,RFY-111,42500,1433000,3080090,32.181666666666665,45.80909090909092,41.538383838383844,9.09090909090909,64.02666666666666,2.927719874657924,3.0680811991161336,3.1094097556623765,4.826397800412812,4.704603836606605,4.559857347164755,7.361229158036395,30.557298971657,2073.285714285714,1716.6666666666667,1324.6666666666667,1151.2941176470588,487.25,1312.5,1628.8,64.93833333333333,1.380089063652948,0.5129163568506042,0.5401975855816478,0.44214728326622255,1.8829626595701903,2.643144761707459,0.42380030337532165,0.13727276763732932,0.15574229084134417,0.1551612401658218,0.15724956965263556,0.12656228808046188,0.1103715098599692,0.157640333762438,85.35442107162537,83.72639743691461,84.06652811878789,94.71926449745455,101.19890737090911,105.34038388363639,110.72302274727275
PAD-3-2,RFY-112,35000,1433000,3080090,32.181666666666665,45.80909090909092,41.538383838383844,9.09090909090909,64.02666666666666,2.921448064972487,3.0607753528723136,3.090208739676009,4.804489468662877,4.564654144862217,4.762232382001532,7.41741752302173,30.621225676069166,1847.0,1493.888888888889,1100.2666666666667,962.9117647058823,400.7875,1293.5,1690.96,64.93833333333333,1.2757879283286238,0.4853928116150141,0.5355997988263194,0.43535733706053437,1.8852046477993585,2.208680733821804,0.3361822688235619,0.13697869965593984,0.15537143063370853,0.15420309901139106,0.15653577110515782,0.1227973901595137,0.11527000480231371,0.1588436046319753,85.35442107162537,83.72639743691461,84.06652811878789,94.71926449745455,101.19890737090911,105.34038388363639,110.72302274727275
PAD-3-2,RFY-113,25000,1433000,3080090,32.181666666666665,45.80909090909092,41.538383838383844,9.09090909090909,64.02666666666666,2.9302325403365086,3.063773238801263,3.0947896052951474,4.803311004741316,4.547369667809984,4.75132147146532,7.416242242445339,30.60703977089488,1863.142857142857,1506.3333333333333,1114.9333333333334,954.2352941176471,394.5,1280.125,1676.68,64.93833333333333,0.9033814996254287,0.34384484305229057,0.3775386561583684,0.31379704497474403,1.368036316820361,1.5941124774078999,0.24217534025143658,0.13739057965029963,0.15552360966416906,0.15443168670048676,0.15649737540049777,0.12233240670076136,0.11500590582330124,0.15881843606048415,85.35442107162537,83.72639743691461,84.06652811878789,94.71926449745455,101.19890737090911,105.34038388363639,110.72302274727275
PAD-3-2,RFY-114,20000,1433000,3080090,32.181666666666665,45.80909090909092,41.538383838383844,9.09090909090909,64.02666666666666,2.9780554048582033,3.0849674180716713,3.127418397431045,4.8291859695520385,4.592997185952937,4.5093529299883155,7.3620754044304135,30.48405271028463,2051.8571428571427,1695.5555555555557,1307.8666666666666,1058.1176470588234,412.60625,1169.25,1485.52,64.93833333333333,0.6562362469186016,0.24437769526919545,0.2574760520172313,0.22639162390839665,1.0464026213575435,1.3962203019999406,0.2186711990375242,0.1396328628093075,0.15659947103088465,0.15605988119743244,0.15734041139743013,0.12355986884128671,0.10914904863937262,0.15765845608428591,85.35442107162537,83.72639743691461,84.06652811878789,94.71926449745455,101.19890737090911,105.34038388363639,110.72302274727275
PAD-3-2,RFY-115,13000,1433000,3080090,32.181666666666665,45.80909090909092,41.538383838383844,9.09090909090909,64.02666666666666,2.963142851487267,3.079334803370058,3.120063268680786,4.824015227336549,4.579844073338621,4.579092928140626,7.370780028113511,30.516273180467415,2027.142857142857,1671.0,1281.2,1053.3823529411766,414.775,1220.875,1537.4,64.93833333333333,0.4317539668371894,0.16117975659120617,0.1708428230048979,0.14781606282628812,0.6766053162136795,0.8691675087734042,0.1373398502252146,0.13893365401836844,0.15631354759531566,0.15569285626725357,0.1571719426922395,0.12320602650181174,0.11083710778413687,0.15784486514087423,85.35442107162537,83.72639743691461,84.06652811878789,94.71926449745455,101.19890737090911,105.34038388363639,110.72302274727275
PAD-4,RFY-116,63000,60200,220860,32.66916666666667,47.190909090909095,38.481818181818184,5.236363636363636,46.634166666666665,5.686711647908302,6.232917449346779,6.358872135214528,7.980214712330975,8.569090455703874,3.262568819275562,9.801014732423091,47.89138995220311,2365.4285714285716,2091.8888888888887,2132.8,1355.8823529411766,1311.8125,429.625,691.28,64.93833333333333,1.7931146168407657,0.6239438802727443,0.49734841034299926,0.5565226669076941,1.0367484865434609,11.969674373133094,1.4802213064486205,0.15002452778649614,0.16087575926375544,0.16205070891414824,0.1615015046487703,0.15704446397264052,0.05557450256448269,0.15292853284970667,84.53937944628102,85.37783742148763,85.87418096727274,96.04680049745456,101.19890737090911,105.34038388363639,110.72302274727275
