RFY-PADD,RFY-PAD-Sub,RFY-PAD-District,RFY_ID,RFY_BPCD,Crude_API,NG_Yield_PAD,GSL_Yield_PAD,DSL_Yield_PAD,RESID_Yield_PAD,WTI_Price,WTI_Diff,WTI_Acq_Cost,Brent_Price,Brent_Diff,BPD_DENS_SPECF,SPECF_RFY_CRCK
PAD-4,PAD-4,PAD-4,RFY-027,36000,33.498333333333335,5.858333333333333,47.70000000000001,38.13333333333333,12.45,97.90583333333332,-17.440833333333316,80.465,108.63749999999999,-19.92583333333333,0.910113376586137,42.94040860983927
PAD-1,PAD-1B,PAD-1-1,RFY-028,182200,34.458333333333336,6.800000000000001,46.24166666666666,38.80833333333333,13.108333333333334,97.90583333333332,8.945833333333354,106.85166666666667,108.63749999999999,-1.4241666666666362,9.12562434883215,16.740491590890972
PAD-2,PAD-2,PAD-2-1,RFY-030,356000,32.4975,7.933333333333333,53.00000000000001,33.325,11.366666666666667,97.90583333333332,-12.575833333333321,85.33,108.63749999999999,-8.386666666666656,9.177331867502906,37.58864644874859
PAD-2,PAD-2,PAD-2-1,RFY-031,253000,32.4975,7.933333333333333,53.00000000000001,33.325,11.366666666666667,97.90583333333332,-12.575833333333321,85.33,108.63749999999999,-8.386666666666656,6.630923778617126,37.579348186291895
PAD-2,PAD-2,PAD-2-1,RFY-032,238600,32.4975,7.933333333333333,53.00000000000001,33.325,11.366666666666667,97.90583333333332,-12.575833333333321,85.33,108.63749999999999,-8.386666666666656,6.0754635193661635,37.580816393229185
PAD-2,PAD-2,PAD-2-1,RFY-033,179265,32.4975,7.933333333333333,53.00000000000001,33.325,11.366666666666667,97.90583333333332,-12.575833333333321,85.33,108.63749999999999,-8.386666666666656,4.548183508728295,37.58009313738678
PAD-2,PAD-2,PAD-2-1,RFY-034,435000,32.4975,7.933333333333333,53.00000000000001,33.325,11.366666666666667,97.90583333333332,-12.575833333333321,85.33,108.63749999999999,-8.386666666666656,11.146697892786118,37.57789635478734
PAD-2,PAD-2,PAD-2-1,RFY-035,28800,32.4975,7.933333333333333,53.00000000000001,33.325,11.366666666666667,97.90583333333332,-12.575833333333321,85.33,108.63749999999999,-8.386666666666656,0.741913624257685,37.58198421118043
PAD-2,PAD-2,PAD-2-3,RFY-036,162000,36.88083333333334,5.925,48.53333333333334,42.40833333333334,7.741666666666666,97.90583333333332,-12.575833333333321,85.33,108.63749999999999,-8.386666666666656,3.775374381573696,40.06983634739157
PAD-2,PAD-2,PAD-2-3,RFY-037,132000,36.88083333333334,5.925,48.53333333333334,42.40833333333334,7.741666666666666,97.90583333333332,-12.575833333333321,85.33,108.63749999999999,-8.386666666666656,3.113721069465974,40.065806715145804
PAD-2,PAD-2,PAD-2-3,RFY-038,109800,36.88083333333334,5.925,48.53333333333334,42.40833333333334,7.741666666666666,97.90583333333332,-12.575833333333321,85.33,108.63749999999999,-8.386666666666656,2.525371409256354,40.073745991787
PAD-2,PAD-2,PAD-2-1,RFY-039,291000,32.4975,7.933333333333333,53.00000000000001,33.325,11.366666666666667,97.90583333333332,-12.575833333333321,85.33,108.63749999999999,-8.386666666666656,8.035976961864577,37.56649774979675
PAD-3,PAD-3,PAD-3-3,RFY-040,578000,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,12.239882366685551,22.590187709716584
PAD-3,PAD-3,PAD-3-3,RFY-041,517700,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,11.1234939086937,22.593745660399634
PAD-3,PAD-3,PAD-3-3,RFY-042,418000,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,8.882810537621852,22.60191473403541
PAD-3,PAD-3,PAD-3-3,RFY-043,260000,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,5.525193157372445,22.60191473403541
PAD-3,PAD-3,PAD-3-3,RFY-044,255600,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,5.345638105171879,22.587643552821017
PAD-3,PAD-3,PAD-3-3,RFY-045,227400,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,4.803120717508127,22.58923542772282
PAD-3,PAD-3,PAD-3-3,RFY-046,215000,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,4.520533909077719,22.58868226913228
PAD-3,PAD-3,PAD-3-3,RFY-047,211146,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,4.431913925230392,22.591422010981788
PAD-3,PAD-3,PAD-3-3,RFY-048,190000,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,4.008339284071844,22.587259046550912
PAD-3,PAD-3,PAD-3-3,RFY-049,135500,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,2.885741151166287,22.602051525688676
PAD-3,PAD-3,PAD-3-3,RFY-050,125000,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,2.6370653184683177,22.587259046550912
PAD-3,PAD-3,PAD-3-3,RFY-051,80000,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,1.7103927396858116,22.59630919709724
PAD-3,PAD-3,PAD-3-3,RFY-052,75000,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,1.61087958157175,22.593846253542154
PAD-3,PAD-3,PAD-3-3,RFY-053,57000,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,1.3321639424019207,22.602111848435115
PAD-3,PAD-3,PAD-3-3,RFY-054,13020,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,0.29855132271976287,22.59747618648621
PAD-3,PAD-3,PAD-3-3,RFY-055,8300,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,0.19282383978585374,22.600618505693816
PAD-2,PAD-2,PAD-2-1,RFY-056,140000,32.4975,7.933333333333333,53.00000000000001,33.325,11.366666666666667,97.90583333333332,-12.575833333333321,85.33,108.63749999999999,-8.386666666666656,3.5512059719163815,37.572942193454544
PAD-2,PAD-2,PAD-2-2,RFY-057,335000,28.614166666666666,3.408333333333333,51.19166666666666,33.458333333333336,14.341666666666667,97.90583333333332,-12.575833333333321,85.33,108.63749999999999,-8.386666666666656,6.815975141459733,36.68211417895032
PAD-3,PAD-3,PAD-3-3,RFY-059,356440,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,7.549357909524521,22.578485676065835
PAD-3,PAD-3,PAD-3-3,RFY-060,26500,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,0.6066507047173192,22.58880031789803
PAD-3,PAD-3,PAD-3-3,RFY-061,11000,30.170833333333338,9.083333333333332,43.775,41.59166666666667,11.825,97.90583333333332,3.645833333333357,101.55166666666668,108.63749999999999,-3.8958333333333286,0.24890010947538105,22.578667412675983
PAD-4,PAD-4,PAD-4,RFY-062,64900,33.498333333333335,5.858333333333333,47.70000000000001,38.13333333333333,12.45,97.90583333333332,-17.440833333333316,80.465,108.63749999999999,-19.92583333333333,1.1479285240034325,42.912957304081424
PAD-4,PAD-4,PAD-4,RFY-063,62000,33.498333333333335,5.858333333333333,47.70000000000001,38.13333333333333,12.45,97.90583333333332,-17.440833333333316,80.465,108.63749999999999,-19.92583333333333,1.0905139199295102,42.9118711259603
PAD-4,PAD-4,PAD-4,RFY-064,61500,33.498333333333335,5.858333333333333,47.70000000000001,38.13333333333333,12.45,97.90583333333332,-17.440833333333316,80.465,108.63749999999999,-19.92583333333333,1.0877905119601095,42.912957304081424
PAD-4,PAD-4,PAD-4,RFY-065,34600,33.498333333333335,5.858333333333333,47.70000000000001,38.13333333333333,12.45,97.90583333333332,-17.440833333333316,80.465,108.63749999999999,-19.92583333333333,0.5444568639293799,42.90100286054521
